app_download,population,city,state,date,post,treated,app_per_pop
3066,12396372,Vermont,Vermont,2022-03-01,0,1,0.000247330428612501
2701,12396372,Vermont,Vermont,2022-03-02,0,1,0.000217886329968155
1927,12396372,Vermont,Vermont,2022-03-03,0,1,0.000155448707089461
1451,12396372,Vermont,Vermont,2022-03-04,0,1,0.000117050375706699
1248,12396372,Vermont,Vermont,2022-03-05,0,1,0.000100674616734638
1338,12396372,Vermont,Vermont,2022-03-06,0,1,0.000107934805441463
2685,12396372,Vermont,Vermont,2022-03-07,0,1,0.000216595629753609
2280,12396372,Vermont,Vermont,2022-03-08,0,1,0.000183924780572897
1609,12396372,Vermont,Vermont,2022-03-09,0,1,0.000129796040325347
1053,12396372,Vermont,Vermont,2022-03-10,0,1,8.49442078698509e-05
1414,12396372,Vermont,Vermont,2022-03-11,0,1,0.00011406563146056
820,12396372,Vermont,Vermont,2022-03-12,0,1,6.61483859955155e-05
1402,12396372,Vermont,Vermont,2022-03-13,0,1,0.00011309760629965
3103,12396372,Vermont,Vermont,2022-03-14,0,1,0.00025031517285864
3103,12396372,Vermont,Vermont,2022-03-15,0,1,0.00025031517285864
2486,12396372,Vermont,Vermont,2022-03-16,0,1,0.000200542545835185
1979,12396372,Vermont,Vermont,2022-03-17,0,1,0.000159643482786738
2038,12396372,Vermont,Vermont,2022-03-18,0,1,0.000164402939827879
1746,12396372,Vermont,Vermont,2022-03-19,0,1,0.000140847660912402
2460,12396372,Vermont,Vermont,2022-03-20,0,1,0.000198445157986546
3987,12396372,Vermont,Vermont,2022-03-21,0,1,0.000321626359712342
3624,12396372,Vermont,Vermont,2022-03-22,0,1,0.000292343598594815
3803,12396372,Vermont,Vermont,2022-03-23,0,1,0.000306783307245055
3028,12396372,Vermont,Vermont,2022-03-24,0,1,0.000244265015602952
2844,12396372,Vermont,Vermont,2022-03-25,0,1,0.000229421963135666
2712,12396372,Vermont,Vermont,2022-03-26,0,1,0.000218773686365656
3383,12396372,Vermont,Vermont,2022-03-27,0,1,0.000272902426613206
5084,12396372,Vermont,Vermont,2022-03-28,0,1,0.000410119993172196
4527,12396372,Vermont,Vermont,2022-03-29,0,1,0.000365187491953291
4682,12396372,Vermont,Vermont,2022-03-30,0,1,0.000377691150281711
4043,12396372,Vermont,Vermont,2022-03-31,0,1,0.000326143810463255
1800,12396372,Vermont,Vermont,2022-04-01,0,1,0.000145203774136497
1540,12396372,Vermont,Vermont,2022-04-02,0,1,0.000124229895650114
1501,12396372,Vermont,Vermont,2022-04-03,0,1,0.000121083813877157
3259,12396372,Vermont,Vermont,2022-04-04,0,1,0.000262899499950469
3163,12396372,Vermont,Vermont,2022-04-05,0,1,0.00025515529866319
2519,12396372,Vermont,Vermont,2022-04-06,0,1,0.000203204615027687
1888,12396372,Vermont,Vermont,2022-04-07,0,1,0.000152302625316504
1244,12396372,Vermont,Vermont,2022-04-08,0,1,0.000100351941681002
940,12396372,Vermont,Vermont,2022-04-09,0,1,7.58286376046153e-05
634,12396372,Vermont,Vermont,2022-04-10,0,1,5.11439960014107e-05
3255,12396372,Vermont,Vermont,2022-04-11,0,1,0.000262576824896833
2350,12396372,Vermont,Vermont,2022-04-12,0,1,0.000189571594011538
2566,12396372,Vermont,Vermont,2022-04-13,0,1,0.000206996046907918
1998,12396372,Vermont,Vermont,2022-04-14,0,1,0.000161176189291512
2153,12396372,Vermont,Vermont,2022-04-15,0,1,0.000173679847619933
2041,12396372,Vermont,Vermont,2022-04-16,0,1,0.000164644946118106
2239,12396372,Vermont,Vermont,2022-04-17,0,1,0.000180617361273121
4305,12396372,Vermont,Vermont,2022-04-18,0,1,0.000347279026476456
3621,12396372,Vermont,Vermont,2022-04-19,0,1,0.000292101592304587
3506,12396372,Vermont,Vermont,2022-04-20,0,1,0.000282824684512533
2980,12396372,Vermont,Vermont,2022-04-21,0,1,0.000240392914959312
2642,12396372,Vermont,Vermont,2022-04-22,0,1,0.000213126872927014
2630,12396372,Vermont,Vermont,2022-04-23,0,1,0.000212158847766104
3105,12396372,Vermont,Vermont,2022-04-24,0,1,0.000250476510385458
4586,12396372,Vermont,Vermont,2022-04-25,0,1,0.000369946948994432
4510,12396372,Vermont,Vermont,2022-04-26,0,1,0.000363816122975335
4233,12396372,Vermont,Vermont,2022-04-27,0,1,0.000341470875510996
4055,12396372,Vermont,Vermont,2022-04-28,0,1,0.000327111835624165
3702,12396372,Vermont,Vermont,2022-04-29,0,1,0.00029863576214073
3501,12396372,Vermont,Vermont,2022-04-30,0,1,0.000282421340695487
3204.73640215202,12396372,Vermont,Vermont,2022-05-01,1,1,0.000258522122613941
4788.21151497984,12396372,Vermont,Vermont,2022-05-02,1,1,0.000386259101854949
4358.33175759498,12396372,Vermont,Vermont,2022-05-03,1,1,0.000351581233412081
3366.56174130607,12396372,Vermont,Vermont,2022-05-04,1,1,0.000271576372611767
2682.20634660643,12396372,Vermont,Vermont,2022-05-05,1,1,0.000216370269188955
2282.57848772846,12396372,Vermont,Vermont,2022-05-06,1,1,0.000184132783989417
1453.84914579257,12396372,Vermont,Vermont,2022-05-07,1,1,0.000117280212774558
1919.86795993295,12396372,Vermont,Vermont,2022-05-08,1,1,0.000154873374236668
3694.34964256586,12396372,Vermont,Vermont,2022-05-09,1,1,0.000298018617266879
3463.72299640014,12396372,Vermont,Vermont,2022-05-10,1,1,0.000279414250911488
3355.57135383627,12396372,Vermont,Vermont,2022-05-11,1,1,0.00027068979164519
