rrrr,pppp,pppp,ssss,dddd,p,tttt
3066,12396372,Vermont,Vermont,3/1/22,0,1
2701,12396372,Vermont,Vermont,3/2/22,0,1
1927,12396372,Vermont,Vermont,3/3/22,0,1
1451,12396372,Vermont,Vermont,3/4/22,0,1
1248,12396372,Vermont,Vermont,3/5/22,0,1
1338,12396372,Vermont,Vermont,3/6/22,0,1
2685,12396372,Vermont,Vermont,3/7/22,0,1
2280,12396372,Vermont,Vermont,3/8/22,0,1
1609,12396372,Vermont,Vermont,3/9/22,0,1
1053,12396372,Vermont,Vermont,3/10/22,0,1
1414,12396372,Vermont,Vermont,3/11/22,0,1
820,12396372,Vermont,Vermont,3/12/22,0,1
1402,12396372,Vermont,Vermont,3/13/22,0,1
3103,12396372,Vermont,Vermont,3/14/22,0,1
3103,12396372,Vermont,Vermont,3/15/22,0,1
2486,12396372,Vermont,Vermont,3/16/22,0,1
1979,12396372,Vermont,Vermont,3/17/22,0,1
2038,12396372,Vermont,Vermont,3/18/22,0,1
1746,12396372,Vermont,Vermont,3/19/22,0,1
2460,12396372,Vermont,Vermont,3/20/22,0,1
3987,12396372,Vermont,Vermont,3/21/22,0,1
3624,12396372,Vermont,Vermont,3/22/22,0,1
3803,12396372,Vermont,Vermont,3/23/22,0,1
3028,12396372,Vermont,Vermont,3/24/22,0,1
2844,12396372,Vermont,Vermont,3/25/22,0,1
2712,12396372,Vermont,Vermont,3/26/22,0,1
3383,12396372,Vermont,Vermont,3/27/22,0,1
5084,12396372,Vermont,Vermont,3/28/22,0,1
4527,12396372,Vermont,Vermont,3/29/22,0,1
4682,12396372,Vermont,Vermont,3/30/22,0,1
4043,12396372,Vermont,Vermont,3/31/22,0,1
1800,12396372,Vermont,Vermont,4/1/22,0,1
1540,12396372,Vermont,Vermont,4/2/22,0,1
1501,12396372,Vermont,Vermont,4/3/22,0,1
3259,12396372,Vermont,Vermont,4/4/22,0,1
3163,12396372,Vermont,Vermont,4/5/22,0,1
2519,12396372,Vermont,Vermont,4/6/22,0,1
1888,12396372,Vermont,Vermont,4/7/22,0,1
1244,12396372,Vermont,Vermont,4/8/22,0,1
940,12396372,Vermont,Vermont,4/9/22,0,1
634,12396372,Vermont,Vermont,4/10/22,0,1
3255,12396372,Vermont,Vermont,4/11/22,0,1
2350,12396372,Vermont,Vermont,4/12/22,0,1
2566,12396372,Vermont,Vermont,4/13/22,0,1
1998,12396372,Vermont,Vermont,4/14/22,0,1
2153,12396372,Vermont,Vermont,4/15/22,0,1
2041,12396372,Vermont,Vermont,4/16/22,0,1
2239,12396372,Vermont,Vermont,4/17/22,0,1
4305,12396372,Vermont,Vermont,4/18/22,0,1
3621,12396372,Vermont,Vermont,4/19/22,0,1
3506,12396372,Vermont,Vermont,4/20/22,0,1
2980,12396372,Vermont,Vermont,4/21/22,0,1
2642,12396372,Vermont,Vermont,4/22/22,0,1
2630,12396372,Vermont,Vermont,4/23/22,0,1
3105,12396372,Vermont,Vermont,4/24/22,0,1
4586,12396372,Vermont,Vermont,4/25/22,0,1
4510,12396372,Vermont,Vermont,4/26/22,0,1
4233,12396372,Vermont,Vermont,4/27/22,0,1
4055,12396372,Vermont,Vermont,4/28/22,0,1
3702,12396372,Vermont,Vermont,4/29/22,0,1
3501,12396372,Vermont,Vermont,4/30/22,0,1
3204.736402152018,12396372,Vermont,Vermont,5/1/22,1,1
4788.211515,12396372,Vermont,Vermont,5/2/22,1,1
4358.331758,12396372,Vermont,Vermont,5/3/22,1,1
3366.5617413060663,12396372,Vermont,Vermont,5/4/22,1,1
